time (min)	Molar Mass 1	time (min)	Molar Mass 2	time (min)	LS	time (min)	UV
		31.0847257196827	-10279.1004219647	28.9553814046723	0.264708496281237	28.9554337550055	0.356074844164442
		31.0929155055096	-10242.2469018217	28.9635711904993	0.284581832171545	28.9636235408324	0.359069870944624
		31.1011052913366	-10506.1206957324	28.9717609763263	0.288170999048142	28.9718133266594	0.362124084617666
		31.1092950771635	-10405.001250593	28.9799507621532	0.291760165924744	28.9800031124863	0.365420127208942
		31.1174848629905	-10013.0035370013	28.9881405479802	0.295748353523123	28.9881928983133	0.368893594004848
		31.1256746488175	-9479.95213980524	28.9963303338072	0.308691390881624	28.9963826841403	0.372429360582215
		31.1338644346444	-9059.45575465678	29.0045201196341	0.308942231953331	29.0045724699672	0.376079305969247
		31.1420542204714	-8849.57070887126	29.0127099054611	0.309193073025027	29.0127622557942	0.37998768802581
		31.1502440062984	-8891.35094977407	29.020899691288	0.348167498020608	29.0209520416212	0.384097761789093
		31.1584337921253	-8929.00725762857	29.029089477115	0.347075048735058	29.0291418274481	0.388172019958954
		31.1666235779523	-9029.03969176709	29.037279262942	0.345982599449507	29.0373316132751	0.392249450599413
		31.1748133637793	-9215.85637688439	29.0454690487689	0.342675855869794	29.045521399102	0.396427538606246
		31.1830031496062	-10792.2103180827	29.0536588345959	0.311093091088542	29.053711184929	0.400769239361495
		31.1911929354332	-11623.8123098946	29.0618486204229	0.302937764450092	29.061900970756	0.405166440725277
		31.1993827212601	-12126.1423483249	29.0700384062498	0.332343304988587	29.0700907565829	0.40956299556976
		31.2075725070871	-9999.96940383591	29.0782281920768	0.341260208674858	29.0782805424099	0.414133864684536
		31.2157622929141	-9014.34747246097	29.0864179779038	0.343444544869091	29.0864703282369	0.418958890596362
		31.223952078741	-8988.78536030074	29.0946077637307	0.342262597317309	29.0946601140638	0.423967348654294
		31.232141864568	-8990.87477557903	29.1027975495577	0.341080649765522	29.1028498998908	0.429079786087693
		31.240331650395	-9032.65436293497	29.1109873353846	0.359325814161009	29.1110396857177	0.434266108115691
		31.2485214362219	-8900.66185000476	29.1191771212116	0.364826365450198	29.1192294715447	0.439495900608479
		31.2567112220489	-8976.46508095515	29.1273669070386	0.370326916739382	29.1274192573717	0.44494793783247
		31.2649010078758	-8922.22612389469	29.1355566928655	0.375027708299388	29.1356090431986	0.450610496519635
		31.2730907937028	-8872.12402585221	29.1437464786925	0.403714361568684	29.1437988290256	0.456352430666547
		31.2812805795298	-8802.12828325417	29.1519362645194	0.404412034067199	29.1519886148526	0.462144509863321
		31.2894703653567	-8788.226083527	29.1601260503464	0.406498510464812	29.1601784006795	0.46791277387413
		31.2976601511837	-9771.37371429103	29.1683158361734	0.407253280753831	29.1683681865065	0.473754855654094
		31.3058499370107	-9661.74323469835	29.1765056220003	0.40800805104285	29.1765579723334	0.479790329359445
		31.3140397228376	-9527.37453454323	29.1846954078273	0.421244931697998	29.1847477581604	0.486006642821086
		31.3222295086646	-9194.16227397709	29.1928851936543	0.423263410036482	29.1929375439874	0.492390142010396
		31.3304192944915	-9143.39793415792	29.2010749794812	0.423809496946868	29.2011273298143	0.498897417798057
		31.3386090803185	-9302.18670198958	29.2092647653082	0.422718668213503	29.2093171156413	0.505386874925848
		31.3467988661455	-9362.73447649709	29.2174545511352	0.421627839480144	29.2175069014683	0.511914896555784
		31.3549886519724	-9323.66592245773	29.2256443369621	0.434956079586221	29.2256966872952	0.518573317793887
				29.2338341227891	0.448131805840082	29.2338864731222	0.52540253286294
				29.242023908616	0.451526064324385	29.2420762589492	0.532449034983406
				29.250213694443	0.454323222686686	29.2502660447761	0.539725818757589
				29.25840348027	0.454775475982971	29.2584558306031	0.5472653937836
				29.2665932660969	0.455227729279261	29.26664561643	0.554908920831686
				29.2747830519239	0.461231533061835	29.274835402257	0.56253824365571
				29.2829728377509	0.474744360090775	29.283025188084	0.570200852946078
				29.2911626235778	0.499200668882857	29.2912149739109	0.577924322713374
				29.2993524094048	0.505794868877635	29.2994047597379	0.585709658502439
				29.3075421952317	0.507750530100489	29.3075945455649	0.59357830822427
				29.3157319810587	0.509706191323348	29.3157843313918	0.601533717874488
				29.3239217668857	0.523714505572842	29.3239741172188	0.609590901377465
				29.3321115527126	0.54824958907108	29.3321639030457	0.617742899361112
				29.3403013385396	0.552468329653993	29.3403536888727	0.625984707835415
				29.3484911243666	0.559958924884419	29.3485434746997	0.634405591019932
				29.3566809101935	0.580144102402924	29.3567332605266	0.642976790403209
				29.3648706960205	0.58472071687133	29.3649230463536	0.651587570937502
				29.3730604818474	0.581749214446867	29.3731128321806	0.660182935038324
				29.3812502676744	0.578777712022398	29.3813026180075	0.668788414724166
				29.3894400535014	0.585780881533664	29.3894924038345	0.677505813195216
				29.3976298393283	0.593566951379807	29.3976821896614	0.686349673792963
				29.4058196251553	0.610604754812636	29.4058719754884	0.695260851791888
				29.4140094109823	0.630716049128451	29.4140617613154	0.704081249991153
				29.4221991968092	0.640628604240384	29.4222515471423	0.712858319245213
				29.4303889826362	0.650541159352316	29.4304413329693	0.72177521914792
				29.4385787684631	0.670741876825796	29.4386311187963	0.73072052719688
				29.4467685542901	0.697524330477577	29.4468209046232	0.739550530346646
				29.4549583401171	0.704620457408244	29.4550106904502	0.748313989047165
				29.463148125944	0.699780276304073	29.4632004762771	0.757100711349266
				29.471337911771	0.694940095199901	29.4713902621041	0.765824098018628
				29.479527697598	0.70275002996971	29.4795800479311	0.774391418256084
				29.4877174834249	0.70492401547136	29.487769833758	0.782884567614855
				29.4959072692519	0.707098000973009	29.495959619585	0.791395262824593
